,47,311,362,363,364,365,622,720,726,761,883,887
1997-02-14,1.2,-999.0,1.8,0.6,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
1997-02-15,3.9,-999.0,9.0,5.3,0.0,-999.0,2.6,-999.0,-999.0,-999.0,-999.0,-999.0
1997-02-16,0.0,-999.0,0.0,0.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
1997-02-17,0.0,-999.0,0.3,0.0,0.0,-999.0,0.4,-999.0,-999.0,-999.0,-999.0,-999.0
1997-02-18,4.4,-999.0,6.8,1.4,9.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
1997-02-19,3.0,-999.0,23.3,5.6,0.0,-999.0,0.6,-999.0,-999.0,-999.0,-999.0,-999.0
1997-02-20,0.0,-999.0,2.8,1.0,1.0,-999.0,2.8,-999.0,-999.0,-999.0,-999.0,-999.0
1997-02-21,0.0,-999.0,4.5,0.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
1997-02-22,13.4,-999.0,6.8,11.9,4.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
1997-02-23,0.8,-999.0,0.4,1.8,0.0,-999.0,8.6,-999.0,-999.0,-999.0,-999.0,-999.0
1997-02-24,0.0,-999.0,0.0,0.0,0.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
1997-02-25,0.0,-999.0,0.0,0.4,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
1997-02-26,0.0,-999.0,0.0,0.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
1997-02-27,0.0,-999.0,0.0,0.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
1997-02-28,0.0,-999.0,0.0,0.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
