data,47,311,362,363,364,365,622,720,726,761,883,887,Mês,Ano,Dia,mean,max
12/04/2022,0.0,10.8,13.6,6.5,28.4,0.0,0.0,0.0,0.0,0.0,30.0,0.0,4,2022,12,7.441666666666666,30.0
13/04/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2022,13,0.0,0.0
14/04/2022,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2022,14,0.016666666666666666,0.2
15/04/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2022,15,0.0,0.0
16/04/2022,0.0,0.0,0.7,5.2,0.6,0.0,0.0,0.0,0.0,0.0,0.2,1.6,4,2022,16,0.6916666666666668,5.2
17/04/2022,0.0,0.0,3.8,4.2,2.8,0.0,0.0,0.0,0.0,0.0,5.5,16.0,4,2022,17,2.6916666666666664,16.0
18/04/2022,0.0,36.0,28.6,12.4,70.4,0.0,0.0,0.0,0.0,0.0,19.2,14.2,4,2022,18,15.066666666666665,70.4
19/04/2022,0.0,11.0,12.7,2.6,5.2,0.0,0.0,0.0,0.0,0.0,0.0,12.4,4,2022,19,3.658333333333333,12.7
20/04/2022,0.0,0.0,0.6,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.8,2.2,4,2022,20,1.366666666666667,12.8
21/04/2022,0.0,3.4,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2,1.6,4,2022,21,0.8833333333333333,4.2
22/04/2022,0.0,37.4,35.2,5.2,7.4,0.0,0.0,0.0,0.0,0.0,6.0,4.8,4,2022,22,8.0,37.4
23/04/2022,0.0,59.0,69.2,75.2,75.0,0.0,0.0,0.0,0.0,0.0,52.4,72.0,4,2022,23,33.56666666666666,75.2
24/04/2022,0.0,0.0,11.0,14.8,10.4,0.0,0.0,0.0,0.0,0.0,28.0,18.8,4,2022,24,6.916666666666667,28.0
25/04/2022,0.0,18.0,2.4,5.8,0.0,0.0,0.0,0.0,0.0,0.0,4.8,2.0,4,2022,25,2.75,18.0
26/04/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,4,2022,26,0.08333333333333333,0.8
27/04/2022,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2022,27,0.041666666666666664,0.5
28/04/2022,0.0,6.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,4,2022,28,1.3916666666666666,8.0
29/04/2022,0.0,2.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.0,4,2022,29,0.9666666666666668,5.0
30/04/2022,0.0,6.0,80.8,136.9,0.0,0.0,0.0,0.0,0.0,0.0,4.2,27.8,4,2022,30,21.308333333333334,136.9
