,data,47,311,362,363,364,365,622,720,726,761,883,887,Mês,Ano,Dia,mean,max
9172,2022-02-11,0.0,1.4,0.6,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022,11,0.5833333333333334,5.0
9173,2022-02-12,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022,12,0.016666666666666666,0.2
9174,2022-02-13,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022,13,0.48333333333333334,5.8
9175,2022-02-14,0.0,0.0,4.6,22.2,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022,14,2.7166666666666663,22.2
9176,2022-02-15,0.0,9.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022,15,1.5166666666666666,9.2
9177,2022-02-16,0.0,0.0,2.3,17.2,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022,16,2.1083333333333334,17.2
9178,2022-02-17,0.0,4.2,5.3,1.6,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022,17,2.091666666666667,14.0
9179,2022-02-18,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022,18,0.05833333333333333,0.7
9180,2022-02-19,0.0,24.0,49.7,32.8,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022,19,11.875,49.7
9181,2022-02-20,0.0,0.0,0.6,1.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022,20,0.21666666666666665,1.2
9182,2022-02-21,0.0,1.0,1.2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022,21,0.47500000000000003,3.5
9183,2022-02-22,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022,22,0.21666666666666667,2.6
9184,2022-02-23,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022,23,0.05833333333333333,0.7
9185,2022-02-24,0.0,1.8,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022,24,0.4083333333333334,3.1
9186,2022-02-25,0.0,44.0,22.3,36.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022,25,9.575,44.0
9187,2022-02-26,0.0,0.0,3.4,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022,26,0.7999999999999999,6.2
9188,2022-02-27,0.0,0.0,0.2,2.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022,27,0.275,2.1
9189,2022-02-28,0.0,8.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022,28,0.7666666666666666,8.0
9190,2022-03-01,0.0,1.4,0.7,6.8,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,1,0.8583333333333333,6.8
9191,2022-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,2,0.0,0.0
9192,2022-03-03,0.0,0.0,0.0,4.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,3,0.38333333333333336,4.4
9193,2022-03-04,0.0,3.4,8.8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,4,1.5,8.8
9194,2022-03-05,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,5,0.06666666666666667,0.8
9195,2022-03-06,0.0,6.0,31.7,25.0,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,6,8.658333333333333,41.2
